Ref,Status,Design ,Type ,Mode,Year,Outstanding Benefits-RiskScore,Membership,Net Assets,AssetPerMember,ExpensesToNetAssetsRatio,Liquidity Ratio,Overall Risk Score,ReturnOn Investment,UnremmittedContributions/Total Assets,Compliance toTable G,Inflation,Interest_rates,Exchange_rates
1540,Active,Defined Contribution,Provident Fund,Guaranteed funds,2018,0,130," 132,377,244.00 "," 1,018,286.49 ",1%,79%,#N/A,9%,0%,0,6%,9%,101.88
1540,Active,Defined Contribution,Provident Fund,Guaranteed funds,2019,0,143," 162,996,011.00 "," 1,139,832.24 ",1%,16%,#N/A,9%,0%,0,5%,9%,102.55
1540,Active,Defined Contribution,Provident Fund,Guaranteed funds,2020,0,104," 199,003,939.00 "," 1,913,499.41 ",1%,19%,#N/A,9%,0%,0,5%,7%,109.51
1540,Active,Defined Contribution,Provident Fund,Guaranteed funds,2021,1,118," 240,840,863.00 "," 2,041,024.26 ",1%,15%,3.52,10%,0%,5,6%,7%,111.93
1540,Active,Defined Contribution,Provident Fund,Guaranteed funds,2022,1,94," 273,219,655.00 "," 2,906,592.07 ",1%,42%,3.24,10%,0%,5,9%,9%,121.95
1540,Active,Defined Contribution,Provident Fund,Guaranteed funds,2023,1,97," 287,230,125.00 "," 2,961,135.31 ",1%,76%,3.24,10%,0%,5,7%,13%,151.77
1540,Active,Defined Contribution,Provident Fund,Guaranteed funds,2024,1,0," 328,322,918.00 ", -   ,1%,36%,2.42,12%,0%,1,#N/A,#N/A,151.77
1541,Active,Defined Contribution,Provident Fund,Guaranteed funds,2014,0,0," 13,766,214.00 ", -   ,0%,69%,#N/A,11%,0%,0,7%,10%,101.78
1541,Active,Defined Contribution,Provident Fund,Guaranteed funds,2015,0,26," 12,577,084.00 "," 483,734.00 ",2%,138%,#N/A,9%,0%,0,7%,13%,103.78
1541,Active,Defined Contribution,Provident Fund,Guaranteed funds,2016,0,24," 14,948,961.00 "," 622,873.38 ",0%,21%,#N/A,8%,0%,0,7%,10%,101.78
1541,Active,Defined Contribution,Provident Fund,Guaranteed funds,2017,0,26," 17,995,168.00 "," 692,121.85 ",0%,21%,#N/A,10%,0%,0,5%,10%,103.37
1541,Active,Defined Contribution,Provident Fund,Guaranteed funds,2018,0,26," 19,212,860.00 "," 738,956.15 ",1%,72%,#N/A,7%,0%,0,6%,9%,101.88
1541,Active,Defined Contribution,Provident Fund,Guaranteed funds,2019,0,28," 22,901,887.00 "," 817,924.54 ",1%,35%,#N/A,8%,0%,0,5%,9%,102.55
1541,Active,Defined Contribution,Provident Fund,Guaranteed funds,2020,0,40," 30,080,438.00 "," 752,010.95 ",1%,1%,#N/A,7%,0%,0,5%,7%,109.51
1541,Active,Defined Contribution,Provident Fund,Guaranteed funds,2021,1,44," 34,734,084.00 "," 789,411.00 ",0%,47%,2.8,9%,0%,5,6%,7%,111.93
1541,Active,Defined Contribution,Provident Fund,Guaranteed funds,2022,1,49," 41,643,849.00 "," 849,874.47 ",0%,27%,2.38,8%,0%,5,9%,9%,121.95
1541,Active,Defined Contribution,Provident Fund,Guaranteed funds,2023,1,51," 49,983,015.00 "," 980,059.12 ",0%,25%,2.3,9%,0%,5,7%,13%,151.77
1541,Active,Defined Contribution,Provident Fund,Guaranteed funds,2024,1,0," 55,841,176.00 ", -   ,0%,47%,1.94,11%,0%,1,#N/A,#N/A,151.77
1544,Active,Defined Contribution,Provident Fund,Segregated funds,2014,0,584," 421,282,579.00 "," 721,374.28 ",0%,32%,#N/A,10%,0%,0,7%,10%,101.78
1544,Active,Defined Contribution,Provident Fund,Segregated funds,2015,0,379," 460,807,503.40 "," 1,215,850.93 ",0%,69%,#N/A,4%,0%,0,7%,13%,103.78
1544,Active,Defined Contribution,Provident Fund,Segregated funds,2016,0,651," 564,511,218.00 "," 867,144.73 ",0%,33%,#N/A,7%,0%,0,7%,10%,101.78
1544,Active,Defined Contribution,Provident Fund,Segregated funds,2017,0,620," 618,482,620.00 "," 997,552.61 ",0%,71%,#N/A,13%,0%,0,5%,10%,103.37
1544,Active,Defined Contribution,Provident Fund,Segregated funds,2018,0,654," 667,681,000.00 "," 1,020,918.96 ",1%,64%,#N/A,7%,0%,0,6%,9%,101.88
1544,Active,Defined Contribution,Provident Fund,Segregated funds,2019,0,688," 786,770,198.00 "," 1,143,561.33 ",1%,43%,#N/A,14%,0%,0,5%,9%,102.55
1544,Active,Defined Contribution,Provident Fund,Segregated funds,2020,0,680," 841,289,756.00 "," 1,237,190.82 ",1%,64%,#N/A,5%,0%,0,5%,7%,109.51
1544,Active,Defined Contribution,Provident Fund,Segregated funds,2021,5,633," 905,377,281.00 "," 1,430,295.86 ",1%,68%,3.39,12%,0%,1,6%,7%,111.93
1544,Active,Defined Contribution,Provident Fund,Segregated funds,2022,1,629," 941,379,289.00 "," 1,496,628.44 ",1%,73%,2.51,5%,0%,1,9%,9%,121.95
1544,Active,Defined Contribution,Provident Fund,Segregated funds,2023,1,620," 964,429,302.00 "," 1,555,531.13 ",1%,81%,2.48,4%,0%,1,7%,13%,151.77
1544,Active,Defined Contribution,Provident Fund,Segregated funds,2024,1,643," 1,146,647,491.00 "," 1,783,277.59 ",1%,39%,3.27,18%,0%,1,#N/A,#N/A,151.77
1545,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2014,0,12," 10,591,960.00 "," 882,663.33 ",1%,5%,#N/A,10%,0%,0,7%,10%,101.78
1545,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2015,0,12," 12,289,849.00 "," 1,024,154.08 ",1%,7%,#N/A,5%,1%,0,7%,13%,103.78
1545,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2016,0,10," 13,033,776.00 "," 1,303,377.60 ",0%,61%,#N/A,5%,0%,0,7%,10%,101.78
1545,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2017,0,14," 15,821,950.00 "," 1,130,139.29 ",1%,5%,#N/A,9%,0%,0,5%,10%,103.37
1545,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2018,0,15," 17,885,004.00 "," 1,192,333.60 ",1%,8%,#N/A,4%,0%,0,6%,9%,101.88
1545,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2019,0,11," 21,086,075.00 "," 1,916,915.91 ",0%,4%,#N/A,8%,0%,0,5%,9%,102.55
1545,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2020,0,15," 22,813,599.00 "," 1,520,906.60 ",0%,51%,#N/A,6%,0%,0,5%,7%,109.51
1545,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2021,1,17," 23,364,897.00 "," 1,374,405.71 ",0%,84%,2.64,6%,0%,5,6%,7%,111.93
1545,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2022,1,23," 28,517,071.00 "," 1,239,872.65 ",0%,0%,2.51,7%,0%,5,9%,9%,121.95
1545,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2023,1,25," 33,142,497.00 "," 1,325,699.88 ",0%,-6%,2.56,2%,0%,5,7%,13%,151.77
1548,Transitioning,Defined Contribution,Provident Fund,Guaranteed funds,2014,0,259," 59,238,074.00 "," 228,718.43 ",1%,171%,#N/A,12%,0%,0,7%,10%,101.78
1548,Transitioning,Defined Contribution,Provident Fund,Guaranteed funds,2015,0,231," 53,023,829.00 "," 229,540.39 ",0%,242%,#N/A,8%,0%,0,7%,13%,103.78
1549,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2014,0,97," 68,415,943.00 "," 705,319.00 ",0%,47%,#N/A,10%,0%,0,7%,10%,101.78
1549,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2015,0,108," 75,414,394.00 "," 698,281.43 ",0%,56%,#N/A,7%,0%,0,7%,13%,103.78
1549,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2017,0,112," 96,745,535.00 "," 863,799.42 ",0%,38%,#N/A,10%,0%,0,5%,10%,103.37
1549,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2018,0,159," 119,821,527.00 "," 753,594.51 ",0%,14%,#N/A,6%,0%,0,6%,9%,101.88
1549,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2019,0,175," 140,508,004.00 "," 802,902.88 ",0%,35%,#N/A,8%,0%,0,5%,9%,102.55
1549,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2020,0,204," 163,044,828.00 "," 799,239.35 ",0%,35%,#N/A,7%,0%,0,5%,7%,109.51
1549,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2021,1,253," 178,566,920.00 "," 705,798.10 ",0%,63%,2.66,9%,0%,5,6%,7%,111.93
1549,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2022,1,225," 194,068,605.00 "," 862,527.13 ",0%,67%,2.25,9%,0%,5,9%,9%,121.95
1549,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2023,1,219," 225,017,152.00 "," 1,027,475.58 ",0%,41%,2.25,9%,0%,5,7%,13%,151.77
1549,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2024,1,209," 231,780,344.00 "," 1,108,996.86 ",0%,88%,2.41,11%,0%,1,#N/A,#N/A,151.77
1553,Active,Defined Contribution,Provident Fund,Guaranteed funds,2014,0,142," 73,489,468.00 "," 517,531.46 ",1%,44%,#N/A,13%,1%,0,7%,10%,101.78
1553,Active,Defined Contribution,Provident Fund,Guaranteed funds,2015,0,0," 81,228,994.00 ", -   ,0%,57%,#N/A,12%,0%,0,7%,13%,103.78
1553,Active,Defined Contribution,Provident Fund,Guaranteed funds,2016,0,120," 97,676,360.00 "," 813,969.67 ",0%,10%,#N/A,10%,0%,0,7%,10%,101.78
1553,Active,Defined Contribution,Provident Fund,Guaranteed funds,2017,0,121," 115,213,243.00 "," 952,175.56 ",0%,16%,#N/A,10%,0%,0,5%,10%,103.37
1553,Active,Defined Contribution,Provident Fund,Guaranteed funds,2018,0,134," 131,453,507.00 "," 980,996.32 ",0%,26%,#N/A,10%,0%,0,6%,9%,101.88
1553,Active,Defined Contribution,Provident Fund,Guaranteed funds,2020,0,118," 162,090,579.00 "," 1,373,648.97 ",0%,57%,#N/A,10%,0%,0,5%,7%,109.51
1553,Active,Defined Contribution,Provident Fund,Guaranteed funds,2021,1,143," 181,136,889.00 "," 1,266,691.53 ",0%,31%,2.72,9%,0%,5,6%,7%,111.93
1553,Active,Defined Contribution,Provident Fund,Guaranteed funds,2022,1,109," 184,742,805.00 "," 1,694,888.12 ",0%,88%,2.44,10%,0%,5,9%,9%,121.95
1553,Active,Defined Contribution,Provident Fund,Guaranteed funds,2023,1,108," 208,466,385.00 "," 1,930,244.31 ",0%,29%,2.25,10%,0%,5,7%,13%,151.77
1553,Active,Defined Contribution,Provident Fund,Guaranteed funds,2024,1,168," 235,428,928.00 "," 1,401,362.67 ",0%,26%,1.48,9%,0%,1,#N/A,#N/A,151.77
1556,Active,Defined Contribution,Provident Fund,Guaranteed funds,2014,0,71," 14,735,571.00 "," 207,543.25 ",0%,32%,#N/A,12%,1%,0,7%,10%,101.78
1556,Active,Defined Contribution,Provident Fund,Guaranteed funds,2015,0,0," 18,991,941.00 ", -   ,0%,7%,#N/A,12%,1%,0,7%,13%,103.78
1556,Active,Defined Contribution,Provident Fund,Guaranteed funds,2016,0,67," 23,851,689.00 "," 355,995.36 ",0%,5%,#N/A,10%,0%,0,7%,10%,101.78
1556,Active,Defined Contribution,Provident Fund,Guaranteed funds,2017,0,77," 29,347,942.00 "," 381,142.10 ",1%,12%,#N/A,9%,0%,0,5%,10%,103.37
1556,Active,Defined Contribution,Provident Fund,Guaranteed funds,2018,0,83," 35,005,532.00 "," 421,753.40 ",0%,22%,#N/A,10%,0%,0,6%,9%,101.88
1556,Active,Defined Contribution,Provident Fund,Guaranteed funds,2019,0,142," 41,274,535.00 "," 290,665.74 ",1%,23%,#N/A,9%,0%,0,5%,9%,102.55
1556,Active,Defined Contribution,Provident Fund,Guaranteed funds,2020,0,142," 46,829,134.00 "," 329,782.63 ",1%,33%,#N/A,9%,0%,0,5%,7%,109.51
1556,Active,Defined Contribution,Provident Fund,Guaranteed funds,2021,5,0," 55,362,778.00 ", -   ,1%,16%,3.46,9%,0%,5,6%,7%,111.93
1556,Active,Defined Contribution,Provident Fund,Guaranteed funds,2022,1,135," 62,099,487.00 "," 459,996.20 ",1%,38%,2.37,9%,0%,5,9%,9%,121.95
1556,Active,Defined Contribution,Provident Fund,Guaranteed funds,2023,1,193," 71,802,566.00 "," 372,034.02 ",0%,24%,2.37,10%,0%,5,7%,13%,151.77
1556,Active,Defined Contribution,Provident Fund,Guaranteed funds,2024,1,162," 83,041,496.00 "," 512,601.83 ",0%,30%,1.42,9%,0%,1,#N/A,#N/A,151.77
1557,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2014,0,404," 50,615,120.00 "," 125,284.95 ",0%,17%,#N/A,12%,1%,0,7%,10%,101.78
1557,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2015,0,455," 65,214,928.00 "," 143,329.51 ",0%,16%,#N/A,12%,0%,0,7%,13%,103.78
1557,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2016,0,686," 80,747,813.00 "," 117,708.18 ",0%,20%,#N/A,10%,0%,0,7%,10%,101.78
1557,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2017,0,956," 102,863,577.00 "," 107,597.88 ",0%,21%,#N/A,9%,0%,0,5%,10%,103.37
1557,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2018,0,0," 114,479,459.00 ", -   ,0%,60%,#N/A,9%,0%,0,6%,9%,101.88
1557,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2019,0,239," 135,042,050.00 "," 565,029.50 ",0%,28%,#N/A,10%,0%,0,5%,9%,102.55
1557,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2020,0,1804," 168,328,833.00 "," 93,308.67 ",0%,21%,#N/A,9%,0%,0,5%,7%,109.51
1557,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2021,1,0," 199,000,639.00 ", -   ,0%,36%,2.72,9%,0%,5,6%,7%,111.93
1557,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2022,1,0," 237,231,208.00 ", -   ,0%,26%,2.64,9%,0%,5,9%,9%,121.95
1557,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2023,1,2114," 282,486,107.00 "," 133,626.35 ",0%,33%,2.64,10%,0%,5,7%,13%,151.77
1557,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2024,1,0," 323,000,080.00 ", -   ,0%,31%,1.59,9%,0%,1,#N/A,#N/A,151.77
156,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2014,0,143," 109,747,679.00 "," 767,466.29 ",0%,11%,#N/A,10%,0%,0,7%,10%,101.78
156,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2015,0,339," 135,628,052.00 "," 400,082.75 ",0%,13%,#N/A,4%,0%,0,7%,13%,103.78
156,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2016,0,211," 157,776,814.00 "," 747,757.41 ",0%,35%,#N/A,5%,0%,0,7%,10%,101.78
156,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2017,0,342," 200,030,963.00 "," 584,885.86 ",0%,10%,#N/A,9%,0%,0,5%,10%,103.37
156,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2018,0,376," 230,625,183.00 "," 613,364.85 ",0%,22%,#N/A,4%,0%,0,6%,9%,101.88
156,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2019,0,366," 289,210,635.00 "," 790,192.99 ",0%,10%,#N/A,8%,0%,0,5%,9%,102.55
156,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2020,0,378," 315,122,157.00 "," 833,656.50 ",0%,59%,#N/A,8%,0%,0,5%,7%,109.51
156,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2021,1,339," 297,546,236.00 "," 877,717.51 ",0%,128%,2.64,8%,0%,5,6%,7%,111.93
156,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2022,1,202," 300,169,584.00 "," 1,485,988.04 ",1%,95%,2.48,6%,0%,5,9%,9%,121.95
156,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2023,1,220," 320,641,596.00 "," 1,457,461.80 ",0%,69%,2.51,9%,0%,5,7%,13%,151.77
156,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2024,1,550," 361,804,656.00 "," 657,826.65 ",0%,46%,2.14,11%,0%,1,#N/A,#N/A,151.77
1560,Active,Defined Contribution,Provident Fund,Segregated funds,2015,0,0," 82,928,702.00 ", -   ,1%,261%,#N/A,2%,0%,0,7%,13%,103.78
1560,Active,Defined Contribution,Provident Fund,Segregated funds,2016,0,114," 76,020,173.00 "," 666,843.62 ",1%,183%,#N/A,5%,0%,0,7%,10%,101.78
1560,Active,Defined Contribution,Provident Fund,Segregated funds,2017,0,14," 84,541,643.00 "," 6,038,688.79 ",1%,58%,#N/A,20%,0%,0,5%,10%,103.37
1560,Active,Defined Contribution,Provident Fund,Segregated funds,2018,0,34," 89,377,242.00 "," 2,628,742.41 ",0%,13%,#N/A,3%,0%,0,6%,9%,101.88
1560,Active,Defined Contribution,Provident Fund,Segregated funds,2019,0,29," 105,935,189.00 "," 3,652,937.55 ",1%,10%,#N/A,15%,0%,0,5%,9%,102.55
1560,Active,Defined Contribution,Provident Fund,Segregated funds,2020,0,34," 93,370,575.00 "," 2,746,193.38 ",1%,233%,#N/A,8%,0%,0,5%,7%,109.51
1560,Active,Defined Contribution,Provident Fund,Segregated funds,2021,1,38," 75,307,460.00 "," 1,981,775.26 ",2%,279%,2.6,13%,0%,1,6%,7%,111.93
1560,Active,Defined Contribution,Provident Fund,Segregated funds,2022,1,0," 71,620,779.00 ", -   ,2%,525%,3.24,1%,0%,1,9%,9%,121.95
1560,Active,Defined Contribution,Provident Fund,Segregated funds,2023,1,0," 63,435,000.00 ", -   ,3%,-1863%,3.32,-1%,0%,1,7%,13%,151.77
1560,Active,Defined Contribution,Provident Fund,Segregated funds,2024,1,44," 81,093,039.00 "," 1,843,023.61 ",2%,8%,3.24,24%,0%,1,#N/A,#N/A,151.77
1561,Transitioning,Defined Contribution,Pension Scheme,Guaranteed funds,2014,0,5," 1,749,283.00 "," 349,856.60 ",1%,32%,#N/A,13%,27%,0,7%,10%,101.78
1562,Active,Defined Contribution,Provident Fund,Guaranteed funds,2014,0,83," 35,133,912.00 "," 423,300.14 ",0%,20%,#N/A,12%,1%,0,7%,10%,101.78
1562,Active,Defined Contribution,Provident Fund,Guaranteed funds,2015,0,76," 38,050,240.00 "," 500,661.05 ",0%,61%,#N/A,8%,0%,0,7%,13%,103.78
1562,Active,Defined Contribution,Provident Fund,Guaranteed funds,2016,0,71," 43,218,368.00 "," 608,709.41 ",0%,70%,#N/A,10%,1%,0,7%,10%,101.78
1562,Active,Defined Contribution,Provident Fund,Guaranteed funds,2017,0,0," 47,548,160.00 ", -   ,0%,48%,#N/A,10%,4%,0,5%,10%,103.37
1562,Active,Defined Contribution,Provident Fund,Guaranteed funds,2018,0,70," 46,886,296.00 "," 669,804.23 ",0%,110%,#N/A,10%,23%,0,6%,9%,101.88
1562,Active,Defined Contribution,Provident Fund,Guaranteed funds,2019,0,79," 63,311,093.00 "," 801,406.24 ",0%,32%,#N/A,7%,13%,0,5%,9%,102.55
1562,Active,Defined Contribution,Provident Fund,Guaranteed funds,2020,0,73," 63,814,136.00 "," 874,166.25 ",0%,98%,#N/A,9%,3%,0,5%,7%,109.51
1562,Active,Defined Contribution,Provident Fund,Guaranteed funds,2021,1,73," 64,782,741.00 "," 887,434.81 ",0%,93%,3.42,8%,1%,5,6%,7%,111.93
1562,Active,Defined Contribution,Provident Fund,Guaranteed funds,2022,1,73," 66,964,667.00 "," 917,324.21 ",0%,62%,2.56,10%,0%,5,9%,9%,121.95
1562,Active,Defined Contribution,Provident Fund,Guaranteed funds,2023,1,92," 79,824,812.00 "," 867,661.00 ",0%,3%,3.44,94%,5%,5,7%,13%,151.77
1562,Active,Defined Contribution,Provident Fund,Guaranteed funds,2024,1,66," 83,525,423.00 "," 1,265,536.71 ",0%,38%,3.92,9%,3%,1,#N/A,#N/A,151.77
1563,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2014,0,175," 113,361,845.00 "," 647,781.97 ",0%,8%,#N/A,12%,3%,0,7%,10%,101.78
1563,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2015,0,194," 150,912,692.00 "," 777,900.47 ",0%,7%,#N/A,12%,0%,0,7%,13%,103.78
1563,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2016,0,239," 183,686,186.00 "," 768,561.45 ",0%,28%,#N/A,10%,0%,0,7%,10%,101.78
1563,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2017,0,262," 223,444,267.00 "," 852,840.71 ",0%,26%,#N/A,10%,0%,0,5%,10%,103.37
1563,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2018,0,266," 246,921,961.00 "," 928,278.05 ",0%,58%,#N/A,9%,0%,0,6%,9%,101.88
1563,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2019,0,239," 299,602,240.00 "," 1,253,565.86 ",0%,16%,#N/A,9%,0%,0,5%,9%,102.55
1563,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2020,0,263," 315,993,117.00 "," 1,201,494.74 ",0%,74%,#N/A,9%,0%,0,5%,7%,109.51
1563,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2021,1,274," 364,384,028.00 "," 1,329,868.72 ",0%,22%,2.72,9%,0%,5,6%,7%,111.93
1563,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2022,1,272," 440,463,265.00 "," 1,619,350.24 ",0%,31%,2.53,9%,0%,5,9%,9%,121.95
1563,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2023,1,361," 467,254,017.00 "," 1,294,332.46 ",0%,71%,2.56,11%,0%,5,7%,13%,151.77
1563,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2024,1,346," 501,506,737.00 "," 1,449,441.44 ",0%,57%,2.18,9%,0%,1,#N/A,#N/A,151.77
1565,Active,Defined Contribution,Provident Fund,Guaranteed funds,2014,0,70," 16,315,346.00 "," 233,076.37 ",2%,65%,#N/A,10%,0%,0,7%,10%,101.78
1565,Active,Defined Contribution,Provident Fund,Guaranteed funds,2015,0,48," 19,979,962.00 "," 416,249.21 ",2%,9%,#N/A,7%,0%,0,7%,13%,103.78
1565,Active,Defined Contribution,Provident Fund,Guaranteed funds,2016,0,81," 21,400,270.00 "," 264,200.86 ",1%,68%,#N/A,8%,0%,0,7%,10%,101.78
1565,Active,Defined Contribution,Provident Fund,Guaranteed funds,2017,0,83," 24,713,486.00 "," 297,752.84 ",2%,40%,#N/A,10%,0%,0,5%,10%,103.37
1565,Active,Defined Contribution,Provident Fund,Guaranteed funds,2018,0,86," 30,124,488.00 "," 350,284.74 ",1%,8%,#N/A,7%,0%,0,6%,9%,101.88
1565,Active,Defined Contribution,Provident Fund,Guaranteed funds,2019,0,92," 36,781,458.00 "," 399,798.46 ",1%,15%,#N/A,9%,0%,0,5%,9%,102.55
1565,Active,Defined Contribution,Provident Fund,Guaranteed funds,2020,0,85," 42,120,992.00 "," 495,541.08 ",1%,33%,#N/A,8%,0%,0,5%,7%,109.51
1565,Active,Defined Contribution,Provident Fund,Guaranteed funds,2021,1,90," 47,784,271.00 "," 530,936.34 ",1%,38%,3.12,9%,0%,5,6%,7%,111.93
1565,Active,Defined Contribution,Provident Fund,Guaranteed funds,2022,1,93," 55,740,517.00 "," 599,360.40 ",1%,24%,3.24,8%,0%,5,9%,9%,121.95
1565,Active,Defined Contribution,Provident Fund,Guaranteed funds,2023,1,99," 68,828,811.00 "," 695,240.52 ",1%,5%,3.04,9%,0%,5,7%,13%,151.77
1565,Active,Defined Contribution,Provident Fund,Guaranteed funds,2024,1,103," 83,361,267.00 "," 809,332.69 ",1%,21%,1.55,10%,0%,1,#N/A,#N/A,151.77
1568,Active,Defined Contribution,Provident Fund,Guaranteed funds,2014,0,0," 178,978,989.00 ", -   ,0%,21%,#N/A,6%,0%,0,7%,10%,101.78
1568,Active,Defined Contribution,Provident Fund,Guaranteed funds,2015,0,0," 213,263,713.00 ", -   ,0%,26%,#N/A,2%,0%,0,7%,13%,103.78
1568,Active,Defined Contribution,Provident Fund,Guaranteed funds,2016,0,0," 258,379,373.00 ", -   ,0%,25%,#N/A,3%,0%,0,7%,10%,101.78
1568,Active,Defined Contribution,Provident Fund,Guaranteed funds,2017,0,0," 320,246,900.00 ", -   ,0%,19%,#N/A,6%,2%,0,5%,10%,103.37
1568,Active,Defined Contribution,Provident Fund,Guaranteed funds,2018,0,0," 355,276,702.00 ", -   ,0%,48%,#N/A,2%,0%,0,6%,9%,101.88
1568,Active,Defined Contribution,Provident Fund,Guaranteed funds,2019,0,811," 405,639,348.00 "," 500,171.82 ",0%,39%,#N/A,7%,0%,0,5%,9%,102.55
1568,Active,Defined Contribution,Provident Fund,Guaranteed funds,2020,0,775," 435,326,139.00 "," 561,711.15 ",0%,49%,#N/A,2%,0%,0,5%,7%,109.51
1568,Active,Defined Contribution,Provident Fund,Guaranteed funds,2021,1,763," 484,941,285.00 "," 635,571.80 ",0%,27%,2.67,4%,0%,5,6%,7%,111.93
1568,Active,Defined Contribution,Provident Fund,Guaranteed funds,2022,1,878," 533,607,414.00 "," 607,753.32 ",0%,22%,2.56,3%,0%,5,9%,9%,121.95
1568,Active,Defined Contribution,Provident Fund,Guaranteed funds,2023,1,763," 503,364,287.00 "," 659,717.28 ",0%,843%,2.66,0%,0%,5,7%,13%,151.77
1568,Active,Defined Contribution,Provident Fund,Guaranteed funds,2024,1,842," 527,605,136.00 "," 626,609.43 ",0%,56%,3.08,10%,0%,1,#N/A,#N/A,151.77
1571,Transitioning,Defined Contribution,Provident Fund,Guaranteed funds,2014,0,13," 6,930,227.00 "," 533,094.38 ",0%,3%,#N/A,11%,0%,0,7%,10%,101.78
1573,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2014,0,30," 17,182,465.00 "," 572,748.83 ",0%,11%,#N/A,10%,0%,0,7%,10%,101.78
1573,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2016,0,24," 23,890,753.00 "," 995,448.04 ",0%,44%,#N/A,8%,0%,0,7%,10%,101.78
1573,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2017,0,37," 30,394,067.00 "," 821,461.27 ",1%,17%,#N/A,9%,0%,0,5%,10%,103.37
1573,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2018,0,59," 38,767,498.00 "," 657,076.24 ",1%,16%,#N/A,8%,0%,0,6%,9%,101.88
